wn,T
2.090000e+03,7.853536e+00
2.100000e+03,7.172789e+00
2.110000e+03,5.303505e+00
2.120000e+03,5.282664e+00
2.130000e+03,6.876298e+00
2.140000e+03,8.595929e+00
2.150000e+03,7.362381e+00
2.160000e+03,5.217029e+00
2.170000e+03,4.840719e+00
2.180000e+03,5.250409e+00
2.190000e+03,6.430008e+00
2.200000e+03,5.347100e+00
2.210000e+03,3.450256e+00
2.220000e+03,3.096498e+00
2.230000e+03,3.687418e+00
2.240000e+03,4.466887e+00
2.250000e+03,3.086443e+00
2.260000e+03,1.920410e+00
2.270000e+03,1.845127e+00
2.280000e+03,2.954258e+00
2.290000e+03,3.416203e+00
2.300000e+03,1.868196e+00
2.310000e+03,1.537854e+00
2.320000e+03,2.205824e+00
2.330000e+03,3.639724e+00
2.340000e+03,2.729440e+00
2.350000e+03,2.188040e+00
2.360000e+03,2.305054e+00
2.370000e+03,3.229139e+00
2.380000e+03,5.075942e+00
2.390000e+03,4.175187e+00
2.400000e+03,3.510374e+00
2.410000e+03,3.703557e+00
2.420000e+03,4.197510e+00
2.430000e+03,4.811257e+00
2.440000e+03,4.321589e+00
2.450000e+03,3.049319e+00
2.460000e+03,2.115305e+00
2.470000e+03,2.449547e+00
2.480000e+03,3.410604e+00
2.490000e+03,2.135949e+00
2.500000e+03,1.232410e+00
2.510000e+03,1.148022e+00
2.520000e+03,1.690265e+00
2.530000e+03,2.161743e+00
2.540000e+03,1.111988e+00
2.550000e+03,8.147486e-01
2.560000e+03,1.092415e+00
2.570000e+03,1.954804e+00
2.580000e+03,1.523074e+00
2.590000e+03,9.912236e-01
2.600000e+03,1.130037e+00
2.610000e+03,1.741644e+00
2.620000e+03,2.137068e+00
2.630000e+03,1.851785e+00
2.640000e+03,1.562111e+00
2.650000e+03,1.609580e+00
2.660000e+03,2.186410e+00
2.670000e+03,2.283847e+00
2.680000e+03,1.812443e+00
2.690000e+03,1.277393e+00
2.700000e+03,1.004998e+00
2.710000e+03,1.130761e+00
2.720000e+03,1.396408e+00
2.730000e+03,7.471625e-01
2.740000e+03,3.509458e-01
2.750000e+03,3.385005e-01
2.760000e+03,5.628780e-01
2.770000e+03,3.903707e-01
2.780000e+03,1.708436e-01
2.790000e+03,1.297588e-01
2.800000e+03,1.844833e-01
2.810000e+03,2.905256e-01
2.820000e+03,1.314289e-01
2.830000e+03,7.780228e-02
2.840000e+03,9.718190e-02
2.850000e+03,2.026227e-01
2.860000e+03,1.665000e-01
2.870000e+03,8.660816e-02
2.880000e+03,8.856503e-02
2.890000e+03,1.714690e-01
2.900000e+03,2.919682e-01
2.910000e+03,1.705096e-01
2.920000e+03,1.411588e-01
2.930000e+03,2.372443e-01
2.940000e+03,6.601269e-01
2.950000e+03,5.553662e-01
2.960000e+03,4.029380e-01
2.970000e+03,5.558183e-01
2.980000e+03,1.139643e+00
2.990000e+03,1.444317e+00
3.000000e+03,7.886054e-01
3.010000e+03,4.939270e-01
3.020000e+03,4.591381e-01
3.030000e+03,7.388696e-01
3.040000e+03,4.651701e-01
3.050000e+03,1.911311e-01
3.060000e+03,1.658685e-01
3.070000e+03,2.826171e-01
3.080000e+03,3.254284e-01
3.090000e+03,1.414056e-01
3.100000e+03,1.001756e-01
