wn,T
2.170000e+03,4.327773e-01
2.180000e+03,3.171914e-01
2.190000e+03,2.520111e-01
2.200000e+03,2.089115e-01
2.210000e+03,1.933133e-01
2.220000e+03,1.844268e-01
2.230000e+03,1.942784e-01
2.240000e+03,2.210152e-01
2.250000e+03,2.635534e-01
2.260000e+03,3.468634e-01
2.270000e+03,4.922059e-01
2.280000e+03,7.343947e-01
2.290000e+03,1.085000e+00
2.300000e+03,1.340341e+00
2.310000e+03,1.228987e+00
2.320000e+03,9.544793e-01
2.330000e+03,7.335860e-01
2.340000e+03,6.382398e-01
2.350000e+03,5.664865e-01
2.360000e+03,5.602442e-01
2.370000e+03,5.799436e-01
2.380000e+03,6.490392e-01
2.390000e+03,8.088963e-01
2.400000e+03,1.062002e+00
2.410000e+03,1.515536e+00
2.420000e+03,2.326658e+00
2.430000e+03,3.836595e+00
2.440000e+03,6.217768e+00
2.450000e+03,7.944317e+00
2.460000e+03,8.777099e+00
2.470000e+03,8.317572e+00
2.480000e+03,6.591890e+00
2.490000e+03,5.711256e+00
2.500000e+03,4.155224e+00
2.510000e+03,3.237597e+00
2.520000e+03,2.441419e+00
2.530000e+03,1.749718e+00
2.540000e+03,1.357941e+00
2.550000e+03,1.109891e+00
2.560000e+03,9.577583e-01
2.570000e+03,8.960276e-01
2.580000e+03,9.040194e-01
2.590000e+03,1.010821e+00
2.600000e+03,1.193643e+00
2.610000e+03,1.493592e+00
2.620000e+03,1.964425e+00
2.630000e+03,2.044637e+00
2.640000e+03,1.709928e+00
2.650000e+03,1.118099e+00
2.660000e+03,7.173558e-01
2.670000e+03,5.115275e-01
2.680000e+03,3.799986e-01
2.690000e+03,3.071568e-01
2.700000e+03,2.659544e-01
2.710000e+03,2.471721e-01
2.720000e+03,2.476692e-01
2.730000e+03,2.627547e-01
2.740000e+03,3.029174e-01
2.750000e+03,3.782750e-01
2.760000e+03,4.956439e-01
2.770000e+03,7.149025e-01
2.780000e+03,9.644543e-01
2.790000e+03,1.123722e+00
2.800000e+03,9.176224e-01
2.810000e+03,6.193919e-01
2.820000e+03,4.280443e-01
2.830000e+03,3.183236e-01
2.840000e+03,2.572030e-01
2.850000e+03,2.234938e-01
2.860000e+03,2.086757e-01
2.870000e+03,2.107382e-01
2.880000e+03,2.255717e-01
2.890000e+03,2.587876e-01
2.900000e+03,3.325687e-01
2.910000e+03,4.450130e-01
2.920000e+03,6.648934e-01
2.930000e+03,1.030467e+00
2.940000e+03,1.558321e+00
2.950000e+03,1.995777e+00
2.960000e+03,1.724858e+00
2.970000e+03,1.257859e+00
2.980000e+03,9.336316e-01
2.990000e+03,7.418425e-01
3.000000e+03,6.403920e-01
3.010000e+03,6.033076e-01
3.020000e+03,6.193137e-01
3.030000e+03,6.716214e-01
3.040000e+03,7.576595e-01
3.050000e+03,9.416917e-01
3.060000e+03,1.244170e+00
3.070000e+03,1.768257e+00
3.080000e+03,2.636398e+00
3.090000e+03,3.819131e+00
3.100000e+03,5.065454e+00
3.110000e+03,5.473014e+00
3.120000e+03,4.922974e+00
3.130000e+03,4.196235e+00
3.140000e+03,3.669577e+00
3.150000e+03,3.409254e+00
3.160000e+03,3.314930e+00
3.170000e+03,3.519045e+00
3.180000e+03,3.786933e+00
3.190000e+03,4.186137e+00
3.200000e+03,5.012034e+00
3.210000e+03,5.678788e+00
3.220000e+03,6.360763e+00
3.230000e+03,7.577397e+00
3.240000e+03,8.083228e+00
3.250000e+03,8.430599e+00
3.260000e+03,9.192420e+00
3.270000e+03,9.330682e+00
3.280000e+03,9.468715e+00
3.290000e+03,9.780904e+00
3.300000e+03,1.001387e+01
3.310000e+03,1.013266e+01
3.320000e+03,1.033318e+01
3.330000e+03,1.033595e+01
3.340000e+03,9.799512e+00
3.350000e+03,9.012513e+00
3.360000e+03,7.906833e+00
3.370000e+03,6.530362e+00
3.380000e+03,5.551847e+00
3.390000e+03,4.793467e+00
3.400000e+03,4.213507e+00
3.410000e+03,3.920876e+00
3.420000e+03,3.822154e+00
3.430000e+03,4.004086e+00
3.440000e+03,4.402745e+00
3.450000e+03,5.358878e+00
3.460000e+03,6.582644e+00
3.470000e+03,8.193310e+00
3.480000e+03,9.773289e+00
3.490000e+03,9.524148e+00
3.500000e+03,7.690612e+00
3.510000e+03,5.923732e+00
3.520000e+03,4.375787e+00
3.530000e+03,3.414349e+00
3.540000e+03,3.023529e+00
3.550000e+03,2.680392e+00
3.560000e+03,2.546925e+00
3.570000e+03,2.618410e+00
3.580000e+03,2.856663e+00
3.590000e+03,3.306932e+00
3.600000e+03,4.226721e+00
3.610000e+03,5.637276e+00
3.620000e+03,7.982974e+00
3.630000e+03,1.057219e+01
3.640000e+03,1.189134e+01
3.650000e+03,1.074986e+01
3.660000e+03,8.629150e+00
3.670000e+03,6.843386e+00
3.680000e+03,5.726823e+00
3.690000e+03,5.065345e+00
3.700000e+03,4.780269e+00
3.710000e+03,4.582460e+00
3.720000e+03,4.869018e+00
3.730000e+03,5.570060e+00
3.740000e+03,6.602605e+00
3.750000e+03,7.825582e+00
3.760000e+03,9.117944e+00
3.770000e+03,1.056775e+01
3.780000e+03,1.170679e+01
3.790000e+03,1.131579e+01
3.800000e+03,1.141307e+01
3.810000e+03,1.119932e+01
3.820000e+03,1.177361e+01
3.830000e+03,1.144832e+01
3.840000e+03,1.120613e+01
